#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACO1	PDK4	9606.ENSP00000309477	9606.ENSP00000005178	0	0	0	0	0.064	0.071	0	0.558	0.583
ACO1	PCK2	9606.ENSP00000309477	9606.ENSP00000216780	0	0	0	0	0.103	0	0	0.486	0.520
ACO1	PPARGC1A	9606.ENSP00000309477	9606.ENSP00000264867	0	0	0	0	0.049	0	0	0.397	0.402
ACO1	AIFM2	9606.ENSP00000309477	9606.ENSP00000478931	0	0	0	0	0.070	0.140	0	0.321	0.410
ACO1	IFI44L	9606.ENSP00000309477	9606.ENSP00000359787	0	0	0	0	0.057	0.410	0	0.071	0.437
ACO1	ENO3	9606.ENSP00000309477	9606.ENSP00000324105	0	0	0	0	0.077	0.070	0	0.406	0.446
ACO1	SHMT2	9606.ENSP00000309477	9606.ENSP00000333667	0.042	0	0	0	0.074	0.128	0	0.416	0.487
ACO1	SREBF1	9606.ENSP00000309477	9606.ENSP00000348069	0	0	0	0	0.049	0.066	0	0.481	0.499
ACTG2	TUBA1A	9606.ENSP00000386857	9606.ENSP00000439020	0	0	0.202	0	0.070	0.136	0	0.190	0.411
ADAMTS10	TBRG1	9606.ENSP00000471851	9606.ENSP00000409016	0	0	0	0	0.054	0	0	0.506	0.513
ADAMTS8	COL18A1	9606.ENSP00000257359	9606.ENSP00000352798	0	0	0	0	0	0	0	0.789	0.789
ADAR	SLC7A2	9606.ENSP00000357459	9606.ENSP00000004531	0	0	0	0	0.062	0	0	0.461	0.473
ADAR	USP18	9606.ENSP00000357459	9606.ENSP00000215794	0	0	0	0	0.371	0	0	0.370	0.587
ADAR	OAS3	9606.ENSP00000357459	9606.ENSP00000228928	0	0	0	0	0.445	0.094	0	0.431	0.689
ADAR	EIF2AK2	9606.ENSP00000357459	9606.ENSP00000233057	0	0	0	0.562	0.497	0.601	0	0.419	0.873
ADAR	ZC3HAV1	9606.ENSP00000357459	9606.ENSP00000242351	0	0	0	0	0.269	0	0	0.306	0.471
ADAR	IRF1	9606.ENSP00000357459	9606.ENSP00000245414	0	0	0	0	0.104	0	0	0.363	0.405
ADAR	DHX58	9606.ENSP00000357459	9606.ENSP00000251642	0	0	0	0	0.294	0	0	0.454	0.598
ADAR	BST2	9606.ENSP00000357459	9606.ENSP00000252593	0	0	0	0	0.180	0	0	0.370	0.461
ADAR	CMPK2	9606.ENSP00000357459	9606.ENSP00000256722	0	0	0	0	0.348	0	0	0.192	0.451
ADAR	OASL	9606.ENSP00000357459	9606.ENSP00000257570	0	0	0	0	0.268	0	0	0.324	0.484
ADAR	SP110	9606.ENSP00000357459	9606.ENSP00000258381	0	0	0	0	0.459	0	0	0.069	0.474
ADAR	COG3	9606.ENSP00000357459	9606.ENSP00000258654	0	0	0	0	0.049	0	0	0.530	0.533
ADAR	RTP4	9606.ENSP00000357459	9606.ENSP00000259030	0	0	0	0	0.238	0	0	0.270	0.421
ADAR	PARP12	9606.ENSP00000357459	9606.ENSP00000263549	0	0	0	0	0.435	0	0	0.176	0.514
ADAR	HERC6	9606.ENSP00000357459	9606.ENSP00000264346	0	0	0	0	0.282	0	0	0.225	0.420
ADAR	HERC5	9606.ENSP00000357459	9606.ENSP00000264350	0	0	0	0	0.342	0	0	0.285	0.510
ADAR	NONO	9606.ENSP00000357459	9606.ENSP00000276079	0	0	0	0	0.083	0	0	0.373	0.401
ADAR	DTX3L	9606.ENSP00000357459	9606.ENSP00000296161	0	0	0	0	0.404	0	0	0.077	0.427
ADAR	TLR3	9606.ENSP00000357459	9606.ENSP00000296795	0	0	0	0	0.046	0	0	0.526	0.528
ADAR	ISG20	9606.ENSP00000357459	9606.ENSP00000306565	0	0	0	0	0.123	0	0	0.380	0.433
ADAR	APOBEC3F	9606.ENSP00000357459	9606.ENSP00000309749	0	0	0	0	0.047	0	0	0.398	0.402
ADAR	STAT2	9606.ENSP00000357459	9606.ENSP00000315768	0	0	0	0	0.373	0	0.500	0.395	0.793
ADAR	TRIM25	9606.ENSP00000357459	9606.ENSP00000323889	0	0	0	0	0.203	0	0	0.339	0.451
ADAR	IFITM1	9606.ENSP00000357459	9606.ENSP00000330825	0	0	0	0	0.246	0	0	0.301	0.450
ADAR	MX2	9606.ENSP00000357459	9606.ENSP00000333657	0	0	0	0	0.352	0	0	0.376	0.578
ADAR	OAS2	9606.ENSP00000357459	9606.ENSP00000342278	0	0	0	0	0.391	0.094	0	0.432	0.660
ADAR	IFI6	9606.ENSP00000357459	9606.ENSP00000342513	0	0	0	0	0.270	0	0	0.300	0.467
ADAR	TAP1	9606.ENSP00000357459	9606.ENSP00000346206	0	0	0	0	0.411	0	0	0.059	0.422
ADAR	PARP9	9606.ENSP00000357459	9606.ENSP00000353512	0	0	0	0	0.454	0	0	0.191	0.539
ADAR	STAT1	9606.ENSP00000357459	9606.ENSP00000354394	0	0	0	0	0.472	0	0.500	0.419	0.833
ADAR	IFI16	9606.ENSP00000357459	9606.ENSP00000357113	0	0	0	0	0.191	0.300	0	0.305	0.572
ADAR	IFITM3	9606.ENSP00000357459	9606.ENSP00000382707	0	0	0	0	0.224	0	0	0.266	0.406
ADAR	IFI27	9606.ENSP00000357459	9606.ENSP00000483430	0	0	0	0	0.159	0	0	0.324	0.407
ADAR	CMTR1	9606.ENSP00000357459	9606.ENSP00000362550	0	0	0	0	0.368	0	0	0.112	0.415
ADAR	HELZ2	9606.ENSP00000357459	9606.ENSP00000417401	0	0	0	0	0.301	0.098	0	0.149	0.417
ADAR	TRIM22	9606.ENSP00000357459	9606.ENSP00000369299	0	0	0	0	0.222	0	0	0.293	0.427
ADAR	TRIM5	9606.ENSP00000357459	9606.ENSP00000369373	0	0	0	0	0.150	0	0	0.355	0.429
ADAR	PARP14	9606.ENSP00000357459	9606.ENSP00000418194	0	0	0	0	0.401	0	0	0.101	0.439
ADAR	PNPT1	9606.ENSP00000357459	9606.ENSP00000400646	0	0	0	0	0.133	0	0	0.389	0.448
ADAR	TRANK1	9606.ENSP00000357459	9606.ENSP00000494480	0	0	0	0	0.465	0	0	0	0.465
ADAR	IFNB1	9606.ENSP00000357459	9606.ENSP00000369581	0	0	0	0	0.042	0	0	0.478	0.478
ADAR	IFI35	9606.ENSP00000357459	9606.ENSP00000395590	0	0	0	0	0.354	0	0	0.231	0.482
ADAR	IFIT5	9606.ENSP00000357459	9606.ENSP00000360860	0	0	0	0	0.284	0.095	0	0.298	0.505
ADAR	DDX60	9606.ENSP00000357459	9606.ENSP00000377344	0	0	0	0	0.277	0	0	0.345	0.506
ADAR	IFI44	9606.ENSP00000357459	9606.ENSP00000359783	0	0	0	0	0.313	0	0	0.324	0.515
ADAR	IFIT2	9606.ENSP00000357459	9606.ENSP00000490935	0	0	0	0	0.270	0.094	0	0.353	0.535
ADAR	IFI44L	9606.ENSP00000357459	9606.ENSP00000359787	0	0	0	0	0.393	0	0	0.323	0.571
ADAR	RSAD2	9606.ENSP00000357459	9606.ENSP00000371471	0	0	0	0	0.294	0	0	0.455	0.599
ADAR	MBNL2	9606.ENSP00000357459	9606.ENSP00000365861	0	0	0	0	0.046	0	0	0.603	0.605
ADAR	ZNFX1	9606.ENSP00000357459	9606.ENSP00000360817	0	0	0	0	0.477	0	0	0.301	0.619
ADAR	IFIT3	9606.ENSP00000357459	9606.ENSP00000360876	0	0	0	0	0.411	0.094	0	0.382	0.641
ADAR	TREX1	9606.ENSP00000357459	9606.ENSP00000486676	0	0	0	0	0.134	0	0	0.605	0.643
ADAR	ISG15	9606.ENSP00000357459	9606.ENSP00000496832	0	0	0	0	0.391	0	0	0.486	0.673
ADAR	IRF7	9606.ENSP00000357459	9606.ENSP00000380697	0	0	0	0	0.456	0	0	0.447	0.686
ADAR	OAS1	9606.ENSP00000357459	9606.ENSP00000388001	0	0	0	0	0.393	0.091	0	0.493	0.696
ADAR	IFIT1	9606.ENSP00000357459	9606.ENSP00000360869	0	0	0	0	0.422	0.095	0	0.472	0.699
ADAR	MX1	9606.ENSP00000357459	9606.ENSP00000381601	0	0	0	0	0.483	0	0	0.487	0.723
ADAR	DVL1	9606.ENSP00000357459	9606.ENSP00000368166	0	0	0	0	0	0	0	0.757	0.757
ADAR	DDX58	9606.ENSP00000357459	9606.ENSP00000369213	0	0	0	0	0.429	0	0	0.607	0.766
ADAR	IRF9	9606.ENSP00000357459	9606.ENSP00000380073	0	0	0	0	0.427	0	0.500	0.419	0.819
ADAR	IFIH1	9606.ENSP00000357459	9606.ENSP00000497271	0	0	0	0	0.285	0	0	0.800	0.851
ADAR	SAMHD1	9606.ENSP00000357459	9606.ENSP00000493536	0	0	0	0	0.118	0	0.500	0.718	0.864
ADM2	BST2	9606.ENSP00000379087	9606.ENSP00000252593	0	0	0	0	0	0	0	0.409	0.408
ADM2	TAP1	9606.ENSP00000379087	9606.ENSP00000346206	0	0	0	0	0.042	0	0	0.670	0.670
ADM2	TAP2	9606.ENSP00000379087	9606.ENSP00000364032	0	0	0	0	0	0	0	0.710	0.710
ADM2	CALCRL	9606.ENSP00000379087	9606.ENSP00000376177	0	0	0	0	0	0.900	0.400	0.985	0.999
ADM2	CHAC1	9606.ENSP00000379087	9606.ENSP00000484644	0	0	0	0	0.250	0	0	0.279	0.436
ADM2	TRIB3	9606.ENSP00000379087	9606.ENSP00000415416	0	0	0	0	0.274	0	0	0.294	0.466
AGRN	RBP1	9606.ENSP00000368678	9606.ENSP00000232219	0	0	0	0	0.054	0	0.500	0.083	0.528
AGRN	EGR1	9606.ENSP00000368678	9606.ENSP00000239938	0	0	0	0	0	0	0	0.652	0.652
AGRN	BST2	9606.ENSP00000368678	9606.ENSP00000252593	0	0	0	0	0.083	0	0	0.884	0.889
AGRN	NDST4	9606.ENSP00000368678	9606.ENSP00000264363	0	0	0	0	0	0	0.400	0.233	0.520
AGRN	ICAM1	9606.ENSP00000368678	9606.ENSP00000264832	0	0	0	0	0.063	0	0	0.461	0.473
AGRN	ALB	9606.ENSP00000368678	9606.ENSP00000295897	0	0	0	0	0	0	0	0.605	0.605
AGRN	MYH7	9606.ENSP00000368678	9606.ENSP00000347507	0	0	0	0	0.061	0.292	0	0.252	0.459
AGRN	ELN	9606.ENSP00000368678	9606.ENSP00000351807	0	0	0	0	0.071	0	0	0.588	0.601
AGRN	COL18A1	9606.ENSP00000368678	9606.ENSP00000352798	0	0	0	0	0.135	0.093	0	0.517	0.588
AGRN	DVL1	9606.ENSP00000368678	9606.ENSP00000368166	0	0	0	0	0.121	0.088	0	0.511	0.574
AGRN	TNNT1	9606.ENSP00000368678	9606.ENSP00000467176	0	0	0	0	0.073	0.292	0	0.160	0.401
AGRN	ITGB2	9606.ENSP00000368678	9606.ENSP00000380948	0	0	0	0	0.046	0	0	0.487	0.489
AGRN	C1R	9606.ENSP00000368678	9606.ENSP00000444271	0	0	0	0	0.075	0	0	0.541	0.558
AGRN	BDNF	9606.ENSP00000368678	9606.ENSP00000414303	0	0	0	0	0	0	0	0.597	0.597
AGRN	TTN	9606.ENSP00000368678	9606.ENSP00000467141	0	0	0	0	0.055	0.292	0	0.559	0.679
AGRN	SDC1	9606.ENSP00000368678	9606.ENSP00000370542	0	0	0	0	0.107	0	0.400	0.594	0.763
AGRN	LRP2	9606.ENSP00000368678	9606.ENSP00000496870	0	0	0	0	0	0.827	0.400	0.240	0.914
AIFM2	DAO	9606.ENSP00000478931	9606.ENSP00000228476	0.059	0	0	0	0.056	0.406	0.281	0.156	0.621
AIFM2	SLC7A11	9606.ENSP00000478931	9606.ENSP00000280612	0.045	0	0	0	0.085	0	0	0.663	0.680
AIFM2	SHMT2	9606.ENSP00000478931	9606.ENSP00000333667	0.079	0	0	0	0.084	0	0.352	0.190	0.498
AIFM2	SLC3A2	9606.ENSP00000478931	9606.ENSP00000367123	0.042	0	0	0	0.074	0	0	0.612	0.626
AIFM2	CARS1	9606.ENSP00000478931	9606.ENSP00000369897	0.057	0	0	0	0.044	0	0	0.403	0.415
AIFM2	CHAC1	9606.ENSP00000478931	9606.ENSP00000484644	0	0	0	0	0.042	0	0	0.400	0.400
AK9	CMPK2	9606.ENSP00000410186	9606.ENSP00000256722	0	0	0	0	0	0.095	0.925	0.349	0.952
AKAP17A	TRIM26	9606.ENSP00000324827	9606.ENSP00000410446	0	0	0	0	0.058	0	0	0.436	0.445
AKAP17A	ASMT	9606.ENSP00000324827	9606.ENSP00000370639	0	0.045	0	0	0.057	0	0	0.783	0.788
ALB	KRT14	9606.ENSP00000295897	9606.ENSP00000167586	0	0	0	0	0.056	0.041	0	0.446	0.454
ALB	XBP1	9606.ENSP00000295897	9606.ENSP00000216037	0	0	0	0	0.042	0	0	0.471	0.471
ALB	CD69	9606.ENSP00000295897	9606.ENSP00000228434	0	0	0	0	0.063	0	0	0.492	0.504
ALB	EIF2AK2	9606.ENSP00000295897	9606.ENSP00000233057	0	0	0	0	0	0	0	0.419	0.419
ALB	EGR1	9606.ENSP00000295897	9606.ENSP00000239938	0	0	0	0	0.044	0	0	0.420	0.421
ALB	TNFSF10	9606.ENSP00000295897	9606.ENSP00000241261	0	0	0	0	0	0	0	0.610	0.610
ALB	H3-3B	9606.ENSP00000295897	9606.ENSP00000254810	0	0	0	0	0	0	0	0.668	0.668
ALB	ATP4A	9606.ENSP00000295897	9606.ENSP00000262623	0	0	0	0	0	0	0	0.776	0.776
ALB	LGALS3BP	9606.ENSP00000295897	9606.ENSP00000262776	0	0	0	0	0.047	0.048	0	0.471	0.478
ALB	ICAM1	9606.ENSP00000295897	9606.ENSP00000264832	0	0	0	0	0	0	0	0.709	0.709
ALB	PPARGC1A	9606.ENSP00000295897	9606.ENSP00000264867	0	0	0	0	0.058	0	0	0.592	0.599
ALB	CPT1A	9606.ENSP00000295897	9606.ENSP00000265641	0	0	0	0	0	0	0	0.405	0.405
ALB	SH3BP2	9606.ENSP00000295897	9606.ENSP00000424846	0	0	0	0	0	0	0	0.403	0.403
ALB	MX1	9606.ENSP00000295897	9606.ENSP00000381601	0	0	0	0	0	0	0	0.405	0.405
ALB	HBG1	9606.ENSP00000295897	9606.ENSP00000327431	0	0	0	0	0.248	0	0	0.250	0.412
ALB	GATA3	9606.ENSP00000295897	9606.ENSP00000368632	0	0	0	0	0.083	0	0	0.387	0.413
ALB	HLA-A	9606.ENSP00000295897	9606.ENSP00000379873	0	0	0	0	0	0	0	0.414	0.414
ALB	COLEC11	9606.ENSP00000295897	9606.ENSP00000411770	0	0	0	0	0.075	0.292	0	0.182	0.417
ALB	LIN28A	9606.ENSP00000295897	9606.ENSP00000363314	0	0	0	0	0.124	0	0	0.367	0.422
ALB	CEBPB	9606.ENSP00000295897	9606.ENSP00000305422	0	0	0	0	0	0	0	0.434	0.434
ALB	IFI6	9606.ENSP00000295897	9606.ENSP00000342513	0	0	0	0	0	0	0	0.444	0.444
ALB	TLN2	9606.ENSP00000295897	9606.ENSP00000453508	0	0	0	0	0	0.096	0	0.413	0.446
ALB	ARRB1	9606.ENSP00000295897	9606.ENSP00000409581	0	0	0	0	0	0	0	0.458	0.458
ALB	COL18A1	9606.ENSP00000295897	9606.ENSP00000352798	0	0	0	0	0.062	0	0	0.447	0.459
ALB	DDIT3	9606.ENSP00000295897	9606.ENSP00000448665	0	0	0	0	0	0	0	0.460	0.460
ALB	TLR3	9606.ENSP00000295897	9606.ENSP00000296795	0	0	0	0	0	0	0	0.504	0.504
ALB	KLF4	9606.ENSP00000295897	9606.ENSP00000363804	0	0	0	0	0	0	0	0.512	0.512
ALB	CXCL1	9606.ENSP00000295897	9606.ENSP00000379110	0	0	0	0	0.042	0	0	0.518	0.518
ALB	JAK2	9606.ENSP00000295897	9606.ENSP00000371067	0	0	0	0	0	0	0	0.530	0.530
ALB	CDC42	9606.ENSP00000295897	9606.ENSP00000497733	0	0	0	0	0	0	0	0.532	0.532
ALB	HLA-B	9606.ENSP00000295897	9606.ENSP00000399168	0	0	0	0	0	0	0	0.538	0.538
ALB	CLEC3B	9606.ENSP00000295897	9606.ENSP00000296130	0	0	0	0	0	0	0	0.541	0.541
ALB	SREBF1	9606.ENSP00000295897	9606.ENSP00000348069	0	0	0	0	0	0	0	0.541	0.541
ALB	STAT1	9606.ENSP00000295897	9606.ENSP00000354394	0	0	0	0	0	0	0	0.545	0.545
ALB	CCNA2	9606.ENSP00000295897	9606.ENSP00000481380	0	0	0	0	0.084	0.129	0	0.488	0.556
ALB	TTN	9606.ENSP00000295897	9606.ENSP00000467141	0	0	0	0	0	0	0	0.572	0.572
ALB	IFNB1	9606.ENSP00000295897	9606.ENSP00000369581	0	0	0	0	0	0	0	0.572	0.572
ALB	CXCL10	9606.ENSP00000295897	9606.ENSP00000305651	0	0	0	0	0	0	0	0.583	0.583
ALB	SDC1	9606.ENSP00000295897	9606.ENSP00000370542	0	0	0	0	0.042	0	0	0.592	0.592
ALB	CCL5	9606.ENSP00000295897	9606.ENSP00000474412	0	0	0	0	0	0	0	0.598	0.598
ALB	GPER1	9606.ENSP00000295897	9606.ENSP00000380281	0	0	0	0	0.049	0	0	0.604	0.607
ALB	CASP1	9606.ENSP00000295897	9606.ENSP00000433138	0	0	0	0	0	0	0	0.611	0.611
ALB	PRKACA	9606.ENSP00000295897	9606.ENSP00000309591	0	0	0	0	0	0	0	0.612	0.612
ALB	FOS	9606.ENSP00000295897	9606.ENSP00000306245	0	0	0	0	0	0	0	0.621	0.621
ALB	SERPINB2	9606.ENSP00000295897	9606.ENSP00000401645	0	0	0	0	0.084	0.053	0	0.605	0.628
ALB	ANGPT2	9606.ENSP00000295897	9606.ENSP00000314897	0	0	0	0	0	0.050	0	0.653	0.656
ALB	IL15	9606.ENSP00000295897	9606.ENSP00000296545	0	0	0	0	0	0	0	0.660	0.660
ALB	BDNF	9606.ENSP00000295897	9606.ENSP00000414303	0	0	0	0	0.044	0	0	0.683	0.684
ALB	ITGB2	9606.ENSP00000295897	9606.ENSP00000380948	0	0	0	0	0	0	0	0.684	0.684
ALB	JUN	9606.ENSP00000295897	9606.ENSP00000360266	0	0	0	0	0.042	0	0	0.696	0.697
ALB	IGF2	9606.ENSP00000295897	9606.ENSP00000391826	0	0	0	0	0.163	0	0	0.671	0.713
ALB	CAV1	9606.ENSP00000295897	9606.ENSP00000339191	0	0	0	0	0.060	0	0	0.738	0.743
ALB	BCL2	9606.ENSP00000295897	9606.ENSP00000381185	0	0	0	0	0	0	0	0.748	0.748
ALB	FGF8	9606.ENSP00000295897	9606.ENSP00000321797	0	0	0	0	0	0	0	0.755	0.755
ALB	CD8A	9606.ENSP00000295897	9606.ENSP00000386559	0	0	0	0	0	0	0	0.771	0.771
ALB	ELN	9606.ENSP00000295897	9606.ENSP00000351807	0	0	0	0	0	0	0	0.783	0.783
ALB	GPT2	9606.ENSP00000295897	9606.ENSP00000345282	0	0	0	0	0.068	0	0	0.889	0.892
ALB	B2M	9606.ENSP00000295897	9606.ENSP00000497910	0	0	0	0	0	0.900	0	0.881	0.987
ALB	LRP2	9606.ENSP00000295897	9606.ENSP00000496870	0	0	0	0	0.065	0	0	0.994	0.994
ALDH1L2	DMGDH	9606.ENSP00000258494	9606.ENSP00000255189	0	0	0	0	0.143	0	0	0.531	0.581
ALDH1L2	TRIB3	9606.ENSP00000258494	9606.ENSP00000415416	0	0	0	0	0.099	0	0	0.380	0.418
ALDH1L2	PSPH	9606.ENSP00000258494	9606.ENSP00000378854	0	0	0	0	0.054	0	0	0.411	0.419
ALDH1L2	ASNS	9606.ENSP00000258494	9606.ENSP00000377845	0	0	0	0	0.104	0.060	0	0.387	0.439
ALDH1L2	SHMT2	9606.ENSP00000258494	9606.ENSP00000333667	0.042	0	0	0	0.098	0	0.921	0.635	0.971
ALDH1L2	MTHFD2	9606.ENSP00000258494	9606.ENSP00000377617	0	0	0	0	0.121	0.051	0.914	0.701	0.975
ALKBH3	RRP8	9606.ENSP00000302232	9606.ENSP00000254605	0	0	0	0	0.049	0.071	0	0.468	0.488
ALPK1	TDRD7	9606.ENSP00000498374	9606.ENSP00000347444	0	0	0	0	0.600	0	0	0	0.600
AMOT	CDC42	9606.ENSP00000361027	9606.ENSP00000497733	0	0	0	0	0	0.107	0	0.619	0.645
ANGPT2	TNFSF10	9606.ENSP00000314897	9606.ENSP00000241261	0	0	0	0	0.072	0	0	0.441	0.459
ANGPT2	ICAM1	9606.ENSP00000314897	9606.ENSP00000264832	0	0	0	0	0.042	0	0	0.599	0.600
ANGPT2	VEGFD	9606.ENSP00000314897	9606.ENSP00000297904	0	0	0	0	0.049	0	0	0.741	0.743
ANGPT2	CXCL10	9606.ENSP00000314897	9606.ENSP00000305651	0	0	0	0	0.064	0	0	0.400	0.414
ANGPT2	CCL5	9606.ENSP00000314897	9606.ENSP00000474412	0	0	0	0	0.053	0	0	0.394	0.401
ANGPT2	CDC42	9606.ENSP00000314897	9606.ENSP00000497733	0	0	0	0	0	0	0	0.415	0.414
ANGPT2	ITGB2	9606.ENSP00000314897	9606.ENSP00000380948	0	0	0	0	0.058	0	0	0.483	0.492
ANGPT2	FGF8	9606.ENSP00000314897	9606.ENSP00000321797	0	0	0	0	0.048	0	0	0.510	0.513
ANGPT2	BDNF	9606.ENSP00000314897	9606.ENSP00000414303	0	0	0	0	0	0	0	0.578	0.578
ANGPT2	COL18A1	9606.ENSP00000314897	9606.ENSP00000352798	0	0	0	0	0.058	0	0	0.580	0.587
ANKRD42	RAB30	9606.ENSP00000435790	9606.ENSP00000435189	0	0	0	0	0.058	0	0	0.480	0.489
ANKS3	ZNF556	9606.ENSP00000304586	9606.ENSP00000302603	0	0	0	0	0.049	0.405	0	0	0.410
ANKS3	NEK6	9606.ENSP00000304586	9606.ENSP00000362702	0	0	0	0	0	0.473	0	0.538	0.746
APOBEC3F	UNG	9606.ENSP00000309749	9606.ENSP00000242576	0	0	0	0	0.044	0	0.151	0.570	0.620
APOBEC3F	BST2	9606.ENSP00000309749	9606.ENSP00000252593	0	0	0	0	0.062	0	0	0.621	0.629
APOBEC3F	CEBPB	9606.ENSP00000309749	9606.ENSP00000305422	0	0	0	0	0.086	0.144	0.180	0.382	0.550
APOBEC3F	APOBEC3H	9606.ENSP00000309749	9606.ENSP00000385741	0	0	0.094	0.803	0.049	0	0	0.374	0.414
APOBEC3F	TRIM22	9606.ENSP00000309749	9606.ENSP00000369299	0	0	0	0	0.085	0	0	0.390	0.418
APOBEC3F	YBX1	9606.ENSP00000309749	9606.ENSP00000361626	0	0	0	0	0.042	0.184	0	0.410	0.498
APOBEC3F	SAMHD1	9606.ENSP00000309749	9606.ENSP00000493536	0	0	0	0	0.042	0	0	0.570	0.571
APOBEC3F	TRIM5	9606.ENSP00000309749	9606.ENSP00000369373	0	0	0	0	0.127	0	0	0.675	0.704
APOBEC3H	UNG	9606.ENSP00000385741	9606.ENSP00000242576	0	0	0	0	0	0	0.151	0.597	0.643
APOBEC3H	BST2	9606.ENSP00000385741	9606.ENSP00000252593	0	0	0	0	0	0	0	0.446	0.446
APOBEC3H	TRIM22	9606.ENSP00000385741	9606.ENSP00000369299	0	0	0	0	0.084	0	0	0.433	0.458
APOBEC3H	TRIM5	9606.ENSP00000385741	9606.ENSP00000369373	0	0	0	0	0.067	0	0	0.526	0.539
APOBEC3H	SAMHD1	9606.ENSP00000385741	9606.ENSP00000493536	0	0	0	0	0	0	0	0.465	0.465
APOL2	APOL6	9606.ENSP00000249066	9606.ENSP00000386280	0	0	0.119	0.763	0.155	0	0	0.258	0.400
APOL2	GBP1	9606.ENSP00000249066	9606.ENSP00000359504	0	0	0	0	0.248	0	0	0.248	0.410
APOL2	GBP5	9606.ENSP00000249066	9606.ENSP00000359488	0	0	0	0	0.187	0.326	0	0.160	0.499
APOL4	APOL6	9606.ENSP00000338260	9606.ENSP00000386280	0	0	0.143	0.669	0.152	0	0	0.345	0.482
APOL6	IRF1	9606.ENSP00000386280	9606.ENSP00000245414	0	0	0	0	0.329	0	0	0.194	0.436
